Frequenz (Hz)	Pegel (dB)
43,066406	-34,464905
86,132813	-42,851166
129,199219	-45,672649
172,265625	-57,421310
215,332031	-65,327843
258,398438	-64,763153
301,464844	-61,701691
344,531250	-56,720921
387,597656	-53,578369
430,664063	-40,442890
473,730469	-25,161194
516,796875	-24,065130
559,863281	-35,749405
602,929688	-50,544537
645,996094	-54,144207
689,062500	-55,687359
732,128906	-58,377556
775,195313	-64,356850
818,261719	-68,089119
861,328125	-70,305145
904,394531	-74,566093
947,460938	-72,208450
990,527344	-67,056770
1033,593750	-69,345879
1076,660156	-73,947472
1119,726563	-78,140190
1162,792969	-82,218452
1205,859375	-73,727180
1248,925781	-70,397842
1291,992188	-72,821175
1335,058594	-74,297180
1378,125000	-71,186501
1421,191406	-72,045197
1464,257813	-62,315067
1507,324219	-59,123920
1550,390625	-65,985573
1593,457031	-71,166237
1636,523438	-73,276375
1679,589844	-73,552650
1722,656250	-79,511276
1765,722656	-75,843857
1808,789063	-80,364609
1851,855469	-77,985352
1894,921875	-79,608963
1937,988281	-80,633400
1981,054688	-79,889992
2024,121094	-83,129425
2067,187500	-85,492256
2110,253906	-85,582672
2153,320313	-84,244049
2196,386719	-82,912712
2239,453125	-77,749443
2282,519531	-79,129517
2325,585938	-79,959976
2368,652344	-78,020401
2411,718750	-78,502052
2454,785156	-76,868607
2497,851563	-75,076485
2540,917969	-80,328163
2583,984375	-82,456108
2627,050781	-84,478241
2670,117188	-85,514900
2713,183594	-83,194138
2756,250000	-82,651009
2799,316406	-82,328369
2842,382813	-83,533478
2885,449219	-74,982277
2928,515625	-68,353050
2971,582031	-69,528786
3014,648438	-68,023575
3057,714844	-69,051750
3100,781250	-73,047585
3143,847656	-73,120003
3186,914063	-75,056953
3229,980469	-79,451782
3273,046875	-83,410423
3316,113281	-79,613617
3359,179688	-86,047195
3402,246094	-88,849014
3445,312500	-89,921608
3488,378906	-91,204544
3531,445313	-90,556023
3574,511719	-86,110657
3617,578125	-82,584045
3660,644531	-84,033844
3703,710938	-74,506416
3746,777344	-74,694969
3789,843750	-77,928894
3832,910156	-74,397049
3875,976563	-72,855927
3919,042969	-75,971153
3962,109375	-78,803780
4005,175781	-81,219864
4048,242188	-85,016258
4091,308594	-85,922760
4134,375000	-88,364822
4177,441406	-90,673904
4220,507813	-87,537537
4263,574219	-85,806923
4306,640625	-86,215424
4349,707031	-88,155289
4392,773438	-88,364693
4435,839844	-86,976212
4478,906250	-89,918945
4521,972656	-91,180946
4565,039063	-91,802147
4608,105469	-93,890839
4651,171875	-95,435120
4694,238281	-94,654083
4737,304688	-90,967476
4780,371094	-88,158379
4823,437500	-87,667175
4866,503906	-87,761185
4909,570313	-86,593712
4952,636719	-84,861267
4995,703125	-86,510002
5038,769531	-87,124817
5081,835938	-83,504494
5124,902344	-82,196457
5167,968750	-79,306610
5211,035156	-80,118385
5254,101563	-82,523636
5297,167969	-79,751343
5340,234375	-82,094711
5383,300781	-85,671135
5426,367188	-88,306511
5469,433594	-84,885292
5512,500000	-81,859863
5555,566406	-84,688080
5598,632813	-93,688545
5641,699219	-93,687157
5684,765625	-92,839958
5727,832031	-95,083580
5770,898438	-94,841957
5813,964844	-87,796638
5857,031250	-89,213737
5900,097656	-87,923615
5943,164063	-86,135483
5986,230469	-86,458694
6029,296875	-87,602364
6072,363281	-86,819908
6115,429688	-83,870262
6158,496094	-82,438995
6201,562500	-84,819939
6244,628906	-85,748154
6287,695313	-83,832230
6330,761719	-83,479553
6373,828125	-83,878784
6416,894531	-85,953865
6459,960938	-88,452797
6503,027344	-87,620270
6546,093750	-89,436859
6589,160156	-93,900467
6632,226563	-91,719528
6675,292969	-91,948502
6718,359375	-94,236046
6761,425781	-91,737221
6804,492188	-91,919647
6847,558594	-92,466713
6890,625000	-91,942924
6933,691406	-91,253212
6976,757813	-93,470100
7019,824219	-96,388153
7062,890625	-97,205620
7105,957031	-97,369972
7149,023438	-97,472198
7192,089844	-98,311852
7235,156250	-97,119186
7278,222656	-97,014702
7321,289063	-97,746086
7364,355469	-97,589157
7407,421875	-94,995964
7450,488281	-93,932320
7493,554688	-95,349228
7536,621094	-94,002823
7579,687500	-95,076057
7622,753906	-94,593834
7665,820313	-94,438179
7708,886719	-97,113159
7751,953125	-97,796967
7795,019531	-96,088959
7838,085938	-94,274117
7881,152344	-92,827110
7924,218750	-93,052963
7967,285156	-94,333832
8010,351563	-96,109726
8053,417969	-98,587662
8096,484375	-100,032120
8139,550781	-99,805222
8182,617188	-100,984741
8225,683594	-100,863052
8268,750000	-99,302834
8311,816406	-97,838318
8354,882813	-98,825150
8397,949219	-96,856071
8441,015625	-96,590027
8484,082031	-97,611916
8527,148438	-96,832153
8570,214844	-99,060059
8613,281250	-98,736595
8656,347656	-98,564278
8699,414063	-99,388206
8742,480469	-99,748207
8785,546875	-99,303040
8828,613281	-98,870323
8871,679688	-99,925880
8914,746094	-100,567116
8957,812500	-100,770081
9000,878906	-98,418999
9043,945313	-97,396339
9087,011719	-96,541481
9130,078125	-95,737404
9173,144531	-96,338196
9216,210938	-98,072830
9259,277344	-99,593040
9302,343750	-101,125381
9345,410156	-102,199295
9388,476563	-101,573586
9431,542969	-100,543701
9474,609375	-98,663887
9517,675781	-98,690109
9560,742188	-99,712929
9603,808594	-99,349777
9646,875000	-101,143951
9689,941406	-99,436340
9733,007813	-100,775917
9776,074219	-101,159630
9819,140625	-100,408463
9862,207031	-101,337502
9905,273438	-100,555458
9948,339844	-98,905846
9991,406250	-99,045532
10034,472656	-100,674843
10077,539063	-103,256065
10120,605469	-100,440544
10163,671875	-100,326973
10206,738281	-100,121078
10249,804688	-99,043884
10292,871094	-97,291801
10335,937500	-93,011749
10379,003906	-90,837357
10422,070313	-91,854988
10465,136719	-92,868576
10508,203125	-93,794441
10551,269531	-92,987167
10594,335938	-93,004608
10637,402344	-95,991768
10680,468750	-100,067635
10723,535156	-101,584488
10766,601563	-101,872353
10809,667969	-99,174187
10852,734375	-98,138062
10895,800781	-100,305634
10938,867188	-97,881508
10981,933594	-97,808807
11025,000000	-100,807518
11068,066406	-100,969589
11111,132813	-100,863922
11154,199219	-100,888741
11197,265625	-101,031967
11240,332031	-102,251595
11283,398438	-101,035118
11326,464844	-103,310226
11369,531250	-103,528625
11412,597656	-103,770287
11455,664063	-104,088356
11498,730469	-103,672081
11541,796875	-103,242386
11584,863281	-103,394646
11627,929688	-103,902069
11670,996094	-104,142288
11714,062500	-104,912910
11757,128906	-105,281647
11800,195313	-105,657951
11843,261719	-106,602219
11886,328125	-107,246445
11929,394531	-104,893120
11972,460938	-102,516106
12015,527344	-104,736252
12058,593750	-106,495003
12101,660156	-105,772530
12144,726563	-105,214844
12187,792969	-106,709900
12230,859375	-108,290443
12273,925781	-107,185371
12316,992188	-106,577309
12360,058594	-106,367798
12403,125000	-106,896652
12446,191406	-105,602592
12489,257813	-104,657158
12532,324219	-105,256462
12575,390625	-105,673393
12618,457031	-105,985771
12661,523438	-107,174522
12704,589844	-108,762047
12747,656250	-106,535675
12790,722656	-106,297432
